WBS ID,Title,Description,Phase,Type,Status,Assignee,Start date,Due date,Effort,Priority,Blocked by,Deliverable,Deliverable type,Repo / Path,Technical Difficulty,Is risk ?,Murphy ID,Risk – Cause,Risk – Effect,Risk – Category,Probability,Impact / Gravité,Risk score,Response strategy,Mitigation plan,Contingency plan,Risk owner,Workstream,Review needed ?,Links
,1 seule exp testée,Cause: Ignorer 5 autres | Symptômes: Mauvaise mean accuracy | Détection: Boucle sur 6 exp | Prévention: Moyenne pondérée | Test: Test: avg 6 exp ok,5 – Évaluation / Validation,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-741,Ignorer 5 autres,Note 42 incorrecte,Planning,3 – Possible,5 – Catastrophique,15,,Moyenne pondérée,Boucle sur 6 exp,,Pipeline ML,Pas de review,
,Trames consécutives,Cause: Fenêtres overlap excessif | Symptômes: Leak temporel | Détection: Afficher seq index | Prévention: No overlap train/test | Test: Test: shuffle gap,5 – Évaluation / Validation,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-742,Fenêtres overlap excessif,CV gonflé,Planning,3 – Possible,5 – Catastrophique,15,,No overlap train/test,Afficher seq index,,Pipeline ML,Pas de review,
,Décalage X/y,"Cause: Drop epochs sans y | Symptômes: Label mismatch | Détection: Checker len X,y | Prévention: Drop synchronisé | Test: Test: asserts",5 – Évaluation / Validation,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-743,Drop epochs sans y,Accuracy erratique,Planning,3 – Possible,5 – Catastrophique,15,,Drop synchronisé,"Checker len X,y",,Pipeline ML,Pas de review,
,Variance test<train,Cause: Split biaisé | Symptômes: Répartition mauvaise | Détection: Montrer stats | Prévention: Stratified split | Test: Test: var acceptable,5 – Évaluation / Validation,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-744,Split biaisé,Écart énorme,Planning,3 – Possible,5 – Catastrophique,15,,Stratified split,Montrer stats,,Pipeline ML,Pas de review,
,Double fit,Cause: fit appelé 2× | Symptômes: Poids incohérents | Détection: Logger appels fit | Prévention: Remove duplicate fit | Test: Test: fit counter==1,4 – Modélisation / ML,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-745,fit appelé 2×,CV bruité,Model,3 – Possible,5 – Catastrophique,15,,Remove duplicate fit,Logger appels fit,,Pipeline ML,Pas de review,
,Hyperparams,Cause: Valeurs absurdes | Symptômes: Surcharge compute | Détection: Afficher params | Prévention: Grid sensé | Test: Test: warn if C>1000,4 – Modélisation / ML,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-746,Valeurs absurdes,Predict lent,Model,3 – Possible,5 – Catastrophique,15,,Grid sensé,Afficher params,,Pipeline ML,Pas de review,
,Bad montage,Cause: Ref manquante | Symptômes: EEG bruité | Détection: Inspecter montage | Prévention: Set montage standard | Test: Test: SNR ↑,4 – Modélisation / ML,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-747,Ref manquante,CSP foire,Model,3 – Possible,5 – Catastrophique,15,,Set montage standard,Inspecter montage,,Pipeline ML,Pas de review,
,Args invalides,Cause: subject not int | Symptômes: Crash | Détection: parser strict | Prévention: Sanity check | Test: Test: bad args fail,4 – Modélisation / ML,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-748,subject not int,Pas de predict,Model,3 – Possible,5 – Catastrophique,15,,Sanity check,parser strict,,Pipeline ML,Pas de review,
,Fichier manquant,Cause: Chemin dur | Symptômes: Erreur silencieuse | Détection: Assert file exists | Prévention: Paths relatifs | Test: Test: missing→fail,4 – Modélisation / ML,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-749,Chemin dur,Training incomplet,Model,3 – Possible,5 – Catastrophique,15,,Paths relatifs,Assert file exists,,Pipeline ML,Pas de review,
,Stride/fenêtrage/overlap mal configurés en streaming temps réel,"Cause: Choix d’une fenêtre trop longue ou d’un stride trop faible, sans contrôle du nombre de fenêtres générées | Symptômes: Nombre de fenêtres par seconde très élevé, latence cumulée qui dépasse le temps réel, décisions retardées | Détection: Logguer pour chaque flux le nombre de fenêtres générées par seconde, mesurer le temps de traitement moyen par fenêtre | Prévention: Fixer une durée de fenêtre cohérente (≈1s) et un stride >=50% de la fenêtre, avec une borne maximale sur le nombre de fenêtres traitées par seconde | Test: Sur une minute de stream simulé, vérifier que le temps total de traitement reste <60s et que la latence par décision reste <2s",6 – Infra / CI/CD,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-750,"Choix d’une fenêtre trop longue ou d’un stride trop faible, sans contrôle du nombre de fenêtres générées","Non-respect de la contrainte realtime <2s de la checklist, pipeline inutilisable en conditions réelles",Infra / CI/CD,3 – Possible,5 – Catastrophique,15,,"Fixer une durée de fenêtre cohérente (≈1s) et un stride >=50% de la fenêtre, avec une borne maximale sur le nombre de fenêtres traitées par seconde","Logguer pour chaque flux le nombre de fenêtres générées par seconde, mesurer le temps de traitement moyen par fenêtre",,Dev / Infra,Pas de review,
,Convergence ICA non atteinte mais ignorée,"Cause: Critères de convergence par défaut inadaptés au bruit EEG | Symptômes: Warnings de non-convergence affichés mais non traités | Détection: Activer les warnings et logger l’état de convergence de l’ICA | Prévention: Adapter les paramètres de convergence (max_iter, tol) et vérifier l’état | Test: Test: forcer un max_iter bas, vérifier qu’un test échoue si non-convergence",3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-751,Critères de convergence par défaut inadaptés au bruit EEG,"Composantes ICA aléatoires, instables d’un run à l’autre",Model,3 – Possible,5 – Catastrophique,15,,"Adapter les paramètres de convergence (max_iter, tol) et vérifier l’état",Activer les warnings et logger l’état de convergence de l’ICA,,Pipeline ML,Pas de review,
,ICA exécutée sur trop peu d’epochs,Cause: Peu de données pour estimer correctement les composantes indépendantes | Symptômes: Composantes dominées par le bruit ou un seul trial | Détection: Vérifier n_epochs utilisés pour l’ICA et le rapport n_channels/n_epochs | Prévention: Imposer un minimum d’epochs ou augmenter la fenêtre de données | Test: Test: échouer si n_epochs < seuil (ex: 20×n_channels),3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-752,Peu de données pour estimer correctement les composantes indépendantes,Difficulté à séparer artefacts EOG/EMG du signal MI,Model,3 – Possible,5 – Catastrophique,15,,Imposer un minimum d’epochs ou augmenter la fenêtre de données,Vérifier n_epochs utilisés pour l’ICA et le rapport n_channels/n_epochs,,Pipeline ML,Pas de review,
,Initialisation ICA non contrôlée (seed aléatoire),Cause: Résultats fortement dépendants de l’initialisation | Symptômes: Différences marquées de performance entre deux runs identiques | Détection: Fixer random_state pour l’estimateur ICA | Prévention: Documenter l’impact de l’initialisation sur les ICs et l’accuracy | Test: Test: comparer l’accuracy sur 5 runs avec et sans seed fixé,3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-753,Résultats fortement dépendants de l’initialisation,Difficile de reproduire exactement un score en défense,Model,3 – Possible,5 – Catastrophique,15,,Documenter l’impact de l’initialisation sur les ICs et l’accuracy,Fixer random_state pour l’estimateur ICA,,Pipeline ML,Pas de review,
,Suppression trop agressive de composantes ICA,"Cause: Rejet de nombreuses ICs sans vérification de leur nature | Symptômes: Perte de composantes réellement informatives pour MI | Détection: Inspecter les ICs marquées pour rejet (topos, time-courses) | Prévention: Limiter le rejet aux ICs clairement artefactuelles (EOG/EMG) | Test: Test: comparer accuracy avec rejet conservateur vs agressif",3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-754,Rejet de nombreuses ICs sans vérification de leur nature,Dégradation des scores de classification post-ICA,Model,3 – Possible,5 – Catastrophique,15,,Limiter le rejet aux ICs clairement artefactuelles (EOG/EMG),"Inspecter les ICs marquées pour rejet (topos, time-courses)",,Pipeline ML,Pas de review,
,Application d’ICA sur des données déjà filtrées très étroitement,"Cause: Bande-passante trop réduite avant identification des ICs | Symptômes: Difficulté à séparer certaines sources, ICs corrélées | Détection: Comparer ICA sur données filtrées large vs étroit | Prévention: Appliquer ICA sur une bande plus large avant resserrage fréquentiel | Test: Test: mesurer le gain de SNR ou d’accuracy avec les deux stratégies",3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-755,Bande-passante trop réduite avant identification des ICs,"Peu de gain en SNR malgré ICA, complexité inutile",Model,3 – Possible,5 – Catastrophique,15,,Appliquer ICA sur une bande plus large avant resserrage fréquentiel,Comparer ICA sur données filtrées large vs étroit,,Pipeline ML,Pas de review,
,Ignorance totale des effets de bord des filtres FIR/IIR,Cause: Application du filtrage sans padding ni trim des bords | Symptômes: Oscillations artificielles visibles au début/fin des epochs | Détection: Comparer signaux bruts vs filtrés en zoomant sur les bords d’epoch | Prévention: Utiliser les options de padding MNE appropriées et tronquer les bords | Test: Test: vérifier par script que la zone d’analyse exclut les n premiers/derniers samples filtrés,2 – Prétraitement / Filtrage,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-756,Application du filtrage sans padding ni trim des bords,Features temps/fréquence biaisées sur les premières/dernières centaines de ms,EEG / Signal,3 – Possible,5 – Catastrophique,15,,Utiliser les options de padding MNE appropriées et tronquer les bords,Comparer signaux bruts vs filtrés en zoomant sur les bords d’epoch,,R&D EEG,Pas de review,
,Incohérence des effets de bord entre train et prédiction temps réel,Cause: Filtrage offline avec padding différent du filtrage online | Symptômes: Différences systématiques de phase ou d’amplitude au début des fenêtres | Détection: Comparer réponse impulsionnelle du filtre offline vs online | Prévention: Aligner la configuration de filtrage entre mode batch et mode streaming | Test: Test: appliquer filtre sur un même signal en offline/online et comparer l’erreur max,2 – Prétraitement / Filtrage,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-757,Filtrage offline avec padding différent du filtrage online,Modèle entraîné sur des signaux filtrés différemment de ceux du stream,EEG / Signal,3 – Possible,5 – Catastrophique,15,,Aligner la configuration de filtrage entre mode batch et mode streaming,Comparer réponse impulsionnelle du filtre offline vs online,,R&D EEG,Pas de review,
,Latence moyenne de prédiction >= 2.0 s sur stream simulé,"Cause: Accumulation de coûts FFT/réduction/classif sans contrôle de borne temporelle | Symptômes: Temps entre event et décision observé comme > 2.0 s sur plusieurs essais | Détection: Instrumenter le pipeline et mesurer le temps de N prédictions consécutives | Prévention: Optimiser n_fft, nombre de features et complexité du classif pour tenir < 2.0 s | Test: Script benchmark: sur 100 fenêtres consécutives, vérifier latence moyenne < 2.0 s et max < 2.2 s",6 – Infra / CI/CD,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-758,Accumulation de coûts FFT/réduction/classif sans contrôle de borne temporelle,"Non-respect explicite de la contrainte realtime de la checklist, système inutilisable",Infra / CI/CD,3 – Possible,5 – Catastrophique,15,,"Optimiser n_fft, nombre de features et complexité du classif pour tenir < 2.0 s",Instrumenter le pipeline et mesurer le temps de N prédictions consécutives,,Dev / Infra,Pas de review,
,Variance de cross_val_score > 0.10 entre folds,"Cause: Pipeline hyper-sensible au split (data trop petite ou sur-apprentissage) | Symptômes: Scores par fold très dispersés, écart type élevé | Détection: Logguer les scores individuels de cross_val_score sur K folds | Prévention: Ajuster complexité du modèle et taille des features pour réduire la variance | Test: Test: assert np.var(scores) <= 0.10 pour un Kfold typique sur le dataset MI",5 – Évaluation / Validation,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-759,Pipeline hyper-sensible au split (data trop petite ou sur-apprentissage),Difficile d’estimer une performance moyenne fiable sur les 6 expériences,Planning,3 – Possible,5 – Catastrophique,15,,Ajuster complexité du modèle et taille des features pour réduire la variance,Logguer les scores individuels de cross_val_score sur K folds,,Pipeline ML,Pas de review,
,PCA conserve moins de 95% de la variance globale,"Cause: Choix arbitraire de n_components sans inspection de explained_variance_ratio_ | Symptômes: Perte de directions informatives, baisse d’accuracy non comprise | Détection: Afficher cumulative explained_variance_ratio_ du PCA | Prévention: Choisir n_components tel que la variance expliquée cumulative >= 0.95 | Test: Test: vérifier par script que la somme des premières composantes retenues >= 0.95",3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-760,Choix arbitraire de n_components sans inspection de explained_variance_ratio_,Modèle sous-performant malgré prétraitement avancé,Model,3 – Possible,5 – Catastrophique,15,,Choisir n_components tel que la variance expliquée cumulative >= 0.95,Afficher cumulative explained_variance_ratio_ du PCA,,Pipeline ML,Pas de review,
,SNR moyen des bandes mu/bêta < 3 dB,"Cause: Filtrage ou fenêtrage qui laisse trop de bruit large bande | Symptômes: PSD par classe quasi confondue avec le bruit de fond | Détection: Estimer SNR (signal vs baseline) sur bandes 8–13 Hz et 13–30 Hz | Prévention: Adapter filtrage, ICA et rejet de trials pour obtenir un SNR >= 3 dB | Test: Test: calculer SNR moyen sur un sous-ensemble et vérifier qu’il dépasse 3 dB",3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-761,Filtrage ou fenêtrage qui laisse trop de bruit large bande,Difficile pour CSP/classif de distinguer les états MI,Model,3 – Possible,5 – Catastrophique,15,,"Adapter filtrage, ICA et rejet de trials pour obtenir un SNR >= 3 dB",Estimer SNR (signal vs baseline) sur bandes 8–13 Hz et 13–30 Hz,,Pipeline ML,Pas de review,
,Amplitude des oscillations de bord > 10% de l’amplitude moyenne de l’epoch,Cause: Filtres FIR/IIR utilisés sans trim suffisant des n premiers/derniers samples | Symptômes: Pics artificiels visibles au début/fin des signaux filtrés | Détection: Mesurer l’amplitude max des 100 premiers/derniers samples vs zone centrale | Prévention: Tronquer systématiquement les n premiers/derniers samples des epochs analysés | Test: Test: ratio amplitude_bords / amplitude_centre <= 0.10 sur un panel d’epochs,2 – Prétraitement / Filtrage,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-762,Filtres FIR/IIR utilisés sans trim suffisant des n premiers/derniers samples,Features temporelles/fréquentielles biaisées aux bords d’epoch,EEG / Signal,3 – Possible,5 – Catastrophique,15,,Tronquer systématiquement les n premiers/derniers samples des epochs analysés,Mesurer l’amplitude max des 100 premiers/derniers samples vs zone centrale,,R&D EEG,Pas de review,
,Norme du résidu de reconstruction ICA > seuil toléré,Cause: ICA conservée même si la reconstruction du signal est médiocre | Symptômes: Différence importante entre signal brut et recomposé par ICA | Détection: Calculer la norme de l’erreur entre signal original et signal reconstruit par ICA | Prévention: Régler tol/max_iter jusqu’à obtenir un résidu sous un seuil acceptable | Test: Test: imposer un seuil (ex: ||x - x_recon||_2 / ||x||_2 < 0.05) et échouer si dépassé,3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-763,ICA conservée même si la reconstruction du signal est médiocre,Artefacts résiduels forts malgré passage par ICA,Model,3 – Possible,5 – Catastrophique,15,,Régler tol/max_iter jusqu’à obtenir un résidu sous un seuil acceptable,Calculer la norme de l’erreur entre signal original et signal reconstruit par ICA,,Pipeline ML,Pas de review,
,Écart type de la latence de prédiction > 0.5 s,"Cause: Charge CPU variable ou gestion non déterministe de la file de fenêtres | Symptômes: Latence très fluctuante d’un appel predict à l’autre | Détection: Mesurer la latence de N prédictions et calculer moyenne et écart type | Prévention: Stabiliser les ressources (threads BLAS, taille des batchs) pour réduire le jitter | Test: Test: sur 100 prédictions, vérifier que std(latences) <= 0.5 s",6 – Infra / CI/CD,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-764,Charge CPU variable ou gestion non déterministe de la file de fenêtres,"Expérience utilisateur incohérente, difficile à calibrer en temps réel",Infra / CI/CD,3 – Possible,5 – Catastrophique,15,,"Stabiliser les ressources (threads BLAS, taille des batchs) pour réduire le jitter",Mesurer la latence de N prédictions et calculer moyenne et écart type,,Dev / Infra,Pas de review,
